Pitcher,PitcherTeam,Overall_StuffPlus,Overall_PitchingPlus,Total_Pitches,Num_Pitch_Types,Avg_Velocity,Avg_Extension
Easten Smith,TEX_ISL,104.5,116.5,89,4,83.5,5.8
Levi Huesman,VAN_COM,119.8,116.5,212,7,85.8,6.1
Kade Brown,SAC_HOR,118.6,116.4,481,8,85.6,5.3
Shane Van Dam,NOR_WOL,109.1,116.4,66,4,89.3,5.7
Trevor Laughlin,MON_COL,87.7,116.4,9,3,77.4,5.5
Gabe Davis,OKL_COW,115.0,116.4,242,7,90.2,6.9
Nick Niebur,UNI_TEX,109.1,116.3,331,3,86.0,5.4
JJ Almeda,CMU_MAV,119.0,116.3,21,2,83.3,5.3
Jake Lenahan,HOL_CRU,103.4,116.3,320,4,82.6,5.1
John Armstrong,AUB_TIG,108.4,116.3,354,5,86.5,6.0
Peysen Sweeney,STJ_HAW,102.2,116.3,31,3,83.2,6.4
BJ Peart,EVA_ACE,105.9,116.3,50,5,83.6,5.7
Max Bryant,SWI_BSM,100.1,116.3,55,3,84.3,5.4
Adam Alexis,NOR_DEM,108.9,116.2,112,5,79.2,5.5
Gavin Black,MSU_BDG,132.9,116.2,27,4,88.7,6.0
AJ Camp,CHA_FOR,115.7,116.2,567,7,84.5,5.9
Aiden O'Hara,LOR_DUH,101.7,116.2,25,3,83.9,5.9
Cody Airington,AUS_GOV,117.6,116.2,453,5,90.1,6.3
Ryan Higgins,DUK_BLU,110.7,116.2,449,6,85.8,5.5
Benjamin DeTaeye,IOW_HAW,113.5,116.2,512,9,84.8,6.5
Tyler Fay,ALA_CRI,110.4,116.2,639,7,87.0,5.7
Andrew Healy,DUK_BLU,116.6,116.1,758,9,86.2,5.6
Kade Neuenschwander,GRY_COL,103.7,116.1,51,4,82.2,6.5
Michael Catalano,OKL_SOO,116.8,116.1,373,5,88.6,6.4
Jaden Alba,ARI_SUN,111.2,116.1,723,8,88.3,6.2
Max Knight,MIS_BEA,118.0,116.1,605,7,80.8,5.5
Evan Blanco,VIR_CAV,110.2,116.1,635,7,86.6,4.9
